phantom,thickness,kvp_pair,noise_level,radius,pair_index,rmse_rel_rho,rmse_rel_z,selected_file,n_materials
Body-Abdomen,0.6,70-100,0.01,0.25,6,0.05863126108700997,0.20823977948276187,results/Saito/Saito-Body-0.6/saito_comparison_0.25_2025_08_08-12_26_25.json,9
Body-Abdomen,0.6,70-120,0.01,0.25,6,0.05455953650492093,0.2082397792552547,results/Saito/Saito-Body-0.6/saito_comparison_0.25_2025_08_08-12_26_25.json,9
Body-Abdomen,0.6,70-140,0.01,0.25,0,0.055920772340220144,0.20823978220968525,results/Saito/Saito-Body-0.6/saito_comparison_0.25_2025_08_08-12_26_25.json,9
Body-Abdomen,0.6,80-100,0.01,0.25,4,0.10417861738270077,0.20823978373292143,results/Saito/Saito-Body-0.6/saito_comparison_0.25_2025_08_08-12_26_25.json,9
Body-Abdomen,0.6,80-120,0.01,0.25,9,0.09625860094996799,0.2082397750625926,results/Saito/Saito-Body-0.6/saito_comparison_0.25_2025_08_08-12_26_25.json,9
Body-Abdomen,0.6,80-140,0.01,0.25,1,0.03867080847701997,0.20823977960341145,results/Saito/Saito-Body-0.6/saito_comparison_0.25_2025_08_08-12_26_25.json,9
Body-Abdomen,0.6,70-100,0.05,0.25,4,0.1779549760614679,0.20823979108788349,results/Saito/Saito-Body-0.6/saito_comparison_0.25_2025_08_08-12_26_25.json,9
Body-Abdomen,0.6,70-120,0.05,0.25,3,0.10704411684172457,0.20823977947544342,results/Saito/Saito-Body-0.6/saito_comparison_0.25_2025_08_08-12_26_25.json,9
Body-Abdomen,0.6,70-140,0.05,0.25,6,0.07846088046226166,0.20823979065275228,results/Saito/Saito-Body-0.6/saito_comparison_0.25_2025_08_08-12_26_25.json,9
Body-Abdomen,0.6,80-100,0.05,0.25,4,0.1779549760614679,0.20823978630538653,results/Saito/Saito-Body-0.6/saito_comparison_0.25_2025_08_08-12_26_25.json,9
Body-Abdomen,0.6,80-120,0.05,0.25,3,0.1071945175461657,0.2082397845822477,results/Saito/Saito-Body-0.6/saito_comparison_0.25_2025_08_08-12_26_25.json,9
Body-Abdomen,0.6,80-140,0.05,0.25,6,0.07846088046226166,0.20823978060907378,results/Saito/Saito-Body-0.6/saito_comparison_0.25_2025_08_08-12_26_25.json,9
Body-Abdomen,0.6,70-100,0.1,0.25,2,0.17154077321674757,0.20823979024883063,results/Saito/Saito-Body-0.6/saito_comparison_0.25_2025_08_08-12_26_25.json,9
Body-Abdomen,0.6,70-120,0.1,0.25,2,0.11518256598476943,0.20823978633868243,results/Saito/Saito-Body-0.6/saito_comparison_0.25_2025_08_08-12_26_25.json,9
Body-Abdomen,0.6,70-140,0.1,0.25,1,0.09146200161864747,0.20823979147561955,results/Saito/Saito-Body-0.6/saito_comparison_0.25_2025_08_08-12_26_25.json,9
Body-Abdomen,0.6,80-100,0.1,0.25,2,0.17154077321674757,0.20823979139253404,results/Saito/Saito-Body-0.6/saito_comparison_0.25_2025_08_08-12_26_25.json,9
Body-Abdomen,0.6,80-120,0.1,0.25,2,0.11472826142730748,0.20823978783273486,results/Saito/Saito-Body-0.6/saito_comparison_0.25_2025_08_08-12_26_25.json,9
Body-Abdomen,0.6,80-140,0.1,0.25,1,0.07295419967275127,0.20823977976706176,results/Saito/Saito-Body-0.6/saito_comparison_0.25_2025_08_08-12_26_25.json,9
Body-Abdomen,0.6,70-100,0.01,0.5,1,0.1209028494846243,0.2082397848656973,results/Saito/Saito-Body-0.6/saito_comparison_0.5_2025_08_08-12_43_37.json,9
Body-Abdomen,0.6,70-120,0.01,0.5,9,0.08154891458005925,0.20823978095256215,results/Saito/Saito-Body-0.6/saito_comparison_0.5_2025_08_08-12_43_37.json,9
Body-Abdomen,0.6,70-140,0.01,0.5,5,0.059080879847175374,0.2082397825505268,results/Saito/Saito-Body-0.6/saito_comparison_0.5_2025_08_08-12_43_37.json,9
